Process 0: secret_function(348.352222, -108.151883) = 1600.398343
Process 1: secret_function(348.352222, -108.151883) = 1600.398343
Process 3: secret_function(62.853299, -281.617088) = 2295.826525
Process 2: secret_function(205.799802, 317.108581) = 1861.451309
Process 0: secret_function(289.893605, 305.602594) = 1819.847416
Process 1: secret_function(289.893605, 305.602594) = 1819.847416
Process 3: secret_function(-109.474018, -57.407085) = 1954.965373
Process 2: secret_function(-421.073454, -387.605309) = 1845.448926
Process 1: secret_function(421.526895, -309.707398) = 1849.336367
Process 0: secret_function(421.526895, -309.707398) = 1849.336367
Process 3: secret_function(-220.117759, -363.744203) = 2221.001069
Process 2: secret_function(-155.333883, -79.910910) = 1815.842650
Process 0: secret_function(-168.731898, 274.667105) = 1878.052704
Process 1: secret_function(-168.731898, 274.667105) = 1878.052704
Process 3: secret_function(65.079808, 373.430993) = 1726.497307
Process 2: secret_function(204.600830, -444.022439) = 1721.757637
Process 0: secret_function(-227.558696, 55.265235) = 1880.878283
Process 3: secret_function(404.891480, -275.656013) = 1774.809436
Process 1: secret_function(-227.558696, 55.265235) = 1880.878283
Process 2: secret_function(89.581929, 146.397497) = 2009.544532
Process 0: secret_function(-23.145419, 131.963827) = 1958.089416
Process 3: secret_function(-507.892116, -40.365171) = 1676.030767
Process 1: secret_function(-23.145419, 131.963827) = 1958.089416
Process 2: secret_function(502.377758, -209.184477) = 1695.893803
Process 0: secret_function(-138.460700, 13.722532) = 2124.886692
Process 1: secret_function(-138.460700, 13.722532) = 2124.886692
Process 3: secret_function(-331.444946, 129.194219) = 1846.288043
Process 2: secret_function(-234.151208, -440.672269) = 1789.862715
Process 0: secret_function(463.083239, 426.183750) = 1549.542808
Process 3: secret_function(455.550565, 354.390630) = 1618.936816
Process 1: secret_function(463.083239, 426.183750) = 1549.542808
Process 2: secret_function(460.430724, -120.652568) = 2410.286512
Process 0: secret_function(138.968809, 222.512056) = 2240.553696
Process 3: secret_function(-501.763134, -248.749184) = 1631.109377
Process 1: secret_function(138.968809, 222.512056) = 2240.553696
Process 2: secret_function(-181.544862, 500.086284) = 1851.827520
Process 0: secret_function(-366.998983, 109.536129) = 1853.704903
Process 3: secret_function(-470.268547, -57.397808) = 2244.819615
Process 1: secret_function(-366.998983, 109.536129) = 1853.704903
Process 2: secret_function(350.742599, -230.078265) = 2380.117175
Process 0: secret_function(-495.308215, -263.283947) = 1678.722389
Process 3: secret_function(-333.370833, -136.682835) = 2005.630683
Process 1: secret_function(-495.308215, -263.283947) = 1678.722389
Process 2: secret_function(98.945703, 57.774424) = 1949.533355
Process 0: secret_function(-371.474865, 311.476996) = 2157.847341
Process 3: secret_function(-451.769059, 63.931196) = 1660.749906
Process 1: secret_function(-371.474865, 311.476996) = 2157.847341
Process 2: secret_function(356.257794, -322.945361) = 1872.264250
Process 3: secret_function(-374.846244, 387.774860) = 1941.531717
Process 0: secret_function(-351.560613, -101.432940) = 1676.500896
Process 1: secret_function(-351.560613, -101.432940) = 1676.500896
Process 2: secret_function(-104.990986, 399.117264) = 1522.348611
Process 0: secret_function(-379.094582, -400.579787) = 1300.479043
Process 3: secret_function(70.086509, 21.794850) = 1984.078415
Process 1: secret_function(-379.094582, -400.579787) = 1300.479043
